file_id,path,first_seen,last_seen,commit_count,touches,bus_factor,sensitivity_score,sensitivity_tags
.gitignore,.gitignore,2026-06-21T22:49:08-03:00,2026-06-21T22:49:08-03:00,1,1,1,0.00,
README.md,README.md,2026-06-21T22:49:08-03:00,2026-06-21T22:49:08-03:00,1,1,1,0.00,
backend/.env.example,backend/.env.example,2026-06-21T22:49:08-03:00,2026-06-21T22:49:08-03:00,1,1,1,0.00,
backend/Procfile,backend/Procfile,2026-06-21T22:51:44-03:00,2026-06-21T22:51:44-03:00,1,1,1,0.00,
backend/alembic.ini,backend/alembic.ini,2026-06-21T22:49:08-03:00,2026-06-21T22:49:08-03:00,1,1,1,0.00,
backend/alembic/README,backend/alembic/README,2026-06-21T22:49:08-03:00,2026-06-21T22:49:08-03:00,1,1,1,0.00,
backend/alembic/env.py,backend/alembic/env.py,2026-06-21T22:49:08-03:00,2026-06-21T22:49:08-03:00,1,1,1,0.00,
backend/alembic/script.py.mako,backend/alembic/script.py.mako,2026-06-21T22:49:08-03:00,2026-06-21T22:49:08-03:00,1,1,1,0.00,
backend/alembic/versions/011f705b6fee_listas_salvas.py,backend/alembic/versions/011f705b6fee_listas_salvas.py,2026-06-21T22:49:08-03:00,2026-06-21T22:49:08-03:00,1,1,1,0.00,
backend/alembic/versions/b8b261b0edfe_initial_schema.py,backend/alembic/versions/b8b261b0edfe_initial_schema.py,2026-06-21T22:49:08-03:00,2026-06-21T22:49:08-03:00,1,1,1,0.00,
backend/alembic/versions/c44e738c0089_movimentacoes_estoque.py,backend/alembic/versions/c44e738c0089_movimentacoes_estoque.py,2026-06-24T15:22:19-03:00,2026-06-24T15:22:19-03:00,1,1,1,0.00,
backend/alembic/versions/e3f0fd0b1858_controle_estoque.py,backend/alembic/versions/e3f0fd0b1858_controle_estoque.py,2026-06-24T15:11:10-03:00,2026-06-24T15:11:10-03:00,1,1,1,0.00,
backend/alembic/versions/f4a8f8ce1c29_lista_compras.py,backend/alembic/versions/f4a8f8ce1c29_lista_compras.py,2026-06-21T22:49:08-03:00,2026-06-21T22:49:08-03:00,1,1,1,0.00,
backend/alembic/versions/fc6c499ff808_notificacoes.py,backend/alembic/versions/fc6c499ff808_notificacoes.py,2026-06-24T14:24:26-03:00,2026-06-24T14:24:26-03:00,1,1,1,0.00,
backend/app/__init__.py,backend/app/__init__.py,2026-06-21T22:49:08-03:00,2026-06-21T22:49:08-03:00,1,1,1,0.00,
backend/app/base.py,backend/app/base.py,2026-06-21T22:49:08-03:00,2026-06-21T22:49:08-03:00,1,1,1,0.00,
backend/app/config.py,backend/app/config.py,2026-06-21T22:49:08-03:00,2026-06-24T15:22:19-03:00,3,3,2,0.00,
backend/app/database.py,backend/app/database.py,2026-06-21T22:49:08-03:00,2026-06-21T23:44:06-03:00,2,2,1,0.00,
backend/app/errors.py,backend/app/errors.py,2026-06-24T16:09:22-03:00,2026-06-24T16:09:22-03:00,1,1,1,0.00,
backend/app/main.py,backend/app/main.py,2026-06-21T22:49:08-03:00,2026-06-24T16:09:22-03:00,3,3,2,0.00,
backend/app/models/__init__.py,backend/app/models/__init__.py,2026-06-21T22:49:08-03:00,2026-06-24T15:22:19-03:00,3,3,2,0.00,
backend/app/models/ingrediente.py,backend/app/models/ingrediente.py,2026-06-21T22:49:08-03:00,2026-06-24T15:22:19-03:00,3,3,2,0.00,
backend/app/models/item_pedido.py,backend/app/models/item_pedido.py,2026-06-21T22:49:08-03:00,2026-06-21T22:49:08-03:00,1,1,1,0.00,
backend/app/models/lista_compras.py,backend/app/models/lista_compras.py,2026-06-21T22:49:08-03:00,2026-06-21T22:49:08-03:00,1,1,1,0.00,
backend/app/models/movimentacao_estoque.py,backend/app/models/movimentacao_estoque.py,2026-06-24T15:22:19-03:00,2026-06-24T15:22:19-03:00,1,1,1,0.00,
backend/app/models/notificacao.py,backend/app/models/notificacao.py,2026-06-24T14:24:26-03:00,2026-06-24T14:24:26-03:00,1,1,1,0.00,
backend/app/models/pedido.py,backend/app/models/pedido.py,2026-06-21T22:49:08-03:00,2026-06-21T22:49:08-03:00,1,1,1,0.00,
backend/app/models/produto.py,backend/app/models/produto.py,2026-06-21T22:49:08-03:00,2026-06-21T22:49:08-03:00,1,1,1,0.00,
backend/app/models/receita_item.py,backend/app/models/receita_item.py,2026-06-21T22:49:08-03:00,2026-06-21T22:49:08-03:00,1,1,1,0.00,
backend/app/models/variacao.py,backend/app/models/variacao.py,2026-06-21T22:49:08-03:00,2026-06-21T22:49:08-03:00,1,1,1,0.00,
backend/app/routers/__init__.py,backend/app/routers/__init__.py,2026-06-21T22:49:08-03:00,2026-06-24T14:24:26-03:00,2,2,2,0.00,
backend/app/routers/dashboard.py,backend/app/routers/dashboard.py,2026-06-21T22:49:08-03:00,2026-06-24T12:28:38-03:00,2,2,2,0.00,
backend/app/routers/ingredientes.py,backend/app/routers/ingredientes.py,2026-06-21T22:49:08-03:00,2026-06-24T16:09:22-03:00,6,6,2,0.00,
backend/app/routers/lista_compras.py,backend/app/routers/lista_compras.py,2026-06-21T22:49:08-03:00,2026-06-24T16:09:22-03:00,2,2,2,0.00,
backend/app/routers/notificacoes.py,backend/app/routers/notificacoes.py,2026-06-24T14:24:26-03:00,2026-06-24T14:24:26-03:00,1,1,1,0.00,
backend/app/routers/pedidos.py,backend/app/routers/pedidos.py,2026-06-21T22:49:08-03:00,2026-06-24T16:09:22-03:00,4,4,2,0.00,
backend/app/routers/produtos.py,backend/app/routers/produtos.py,2026-06-21T22:49:08-03:00,2026-06-24T16:09:22-03:00,2,2,2,0.00,
backend/app/routers/publico.py,backend/app/routers/publico.py,2026-06-21T22:49:08-03:00,2026-06-24T16:09:22-03:00,3,3,2,0.00,
